Date,Stock,Close,Interest Rate,Inflation Rate,GDP
2018-05-18,AMZN,78.71849822998047,1.7,2.543212,20693.411406593408
2018-05-18,AAPL,46.57749938964844,1.7,2.543212,20693.411406593408
2018-05-18,MSFT,96.36000061035156,1.7,2.543212,20693.411406593408
2018-05-18,WFC,53.70000076293945,1.7,2.543212,20693.411406593408
2018-05-18,MS,53.91999816894531,1.7,2.543212,20693.411406593408
2018-05-18,JPM,111.12999725341795,1.7,2.543212,20693.411406593408
2018-05-18,F,11.329999923706056,1.7,2.543212,20693.411406593408
2018-05-21,MSFT,97.5999984741211,1.7,2.543212,20700.59221978022
2018-05-21,AAPL,46.907501220703125,1.7,2.543212,20700.59221978022
2018-05-21,MS,54.36000061035156,1.7,2.543212,20700.59221978022
2018-05-21,CSCO,43.75,1.7,2.543212,20700.59221978022
2018-05-21,WFC,54.540000915527344,1.7,2.543212,20700.59221978022
2018-05-21,F,11.510000228881836,1.7,2.543212,20700.59221978022
2018-05-21,AMZN,79.27300262451172,1.7,2.543212,20700.59221978022
2018-05-21,JPM,112.1500015258789,1.7,2.543212,20700.59221978022
2018-05-22,MSFT,97.5,1.7,2.543212,20702.985824175823
2018-05-22,CSCO,43.650001525878906,1.7,2.543212,20702.985824175823
2018-05-22,AAPL,46.790000915527344,1.7,2.543212,20702.985824175823
2018-05-22,WFC,55.2599983215332,1.7,2.543212,20702.985824175823
2018-05-22,MS,54.880001068115234,1.7,2.543212,20702.985824175823
2018-05-22,F,11.520000457763672,1.7,2.543212,20702.985824175823
2018-05-22,JPM,113.01000213623048,1.7,2.543212,20702.985824175823
2018-05-22,AMZN,79.06999969482422,1.7,2.543212,20702.985824175823
2018-05-23,AAPL,47.09000015258789,1.7,2.543212,20705.37942857143
2018-05-23,F,11.4399995803833,1.7,2.543212,20705.37942857143
2018-05-23,MSFT,98.66000366210938,1.7,2.543212,20705.37942857143
2018-05-23,MS,54.34999847412109,1.7,2.543212,20705.37942857143
2018-05-23,WFC,56.18000030517578,1.7,2.543212,20705.37942857143
2018-05-23,AMZN,80.09300231933594,1.7,2.543212,20705.37942857143
2018-05-23,CSCO,43.68000030517578,1.7,2.543212,20705.37942857143
2018-05-23,JPM,112.48999786376952,1.7,2.543212,20705.37942857143
2018-05-24,CSCO,43.56999969482422,1.7,2.543212,20707.77303296704
2018-05-24,AMZN,80.15350341796875,1.7,2.543212,20707.77303296704
2018-05-24,F,11.619999885559082,1.7,2.543212,20707.77303296704
2018-05-24,JPM,111.2300033569336,1.7,2.543212,20707.77303296704
2018-05-24,MSFT,98.30999755859376,1.7,2.543212,20707.77303296704
2018-05-24,MS,54.0,1.7,2.543212,20707.77303296704
2018-05-24,WFC,54.66999816894531,1.7,2.543212,20707.77303296704
2018-05-24,AAPL,47.03749847412109,1.7,2.543212,20707.77303296704
2018-05-25,MSFT,98.36000061035156,1.7,2.543212,20710.16663736264
2018-05-25,MS,53.0099983215332,1.7,2.543212,20710.16663736264
2018-05-25,AMZN,80.50749969482422,1.7,2.543212,20710.16663736264
2018-05-25,CSCO,43.2599983215332,1.7,2.543212,20710.16663736264
2018-05-25,WFC,54.900001525878906,1.7,2.543212,20710.16663736264
2018-05-25,AAPL,47.14500045776367,1.7,2.543212,20710.16663736264
2018-05-25,F,11.510000228881836,1.7,2.543212,20710.16663736264
2018-05-25,JPM,110.66000366210938,1.7,2.543212,20710.16663736264
2018-05-29,MSFT,98.01000213623048,1.7,2.543212,20719.74105494505
2018-05-29,AMZN,80.64350128173828,1.7,2.543212,20719.74105494505
2018-05-29,CSCO,42.970001220703125,1.7,2.543212,20719.74105494505
2018-05-29,F,11.4399995803833,1.7,2.543212,20719.74105494505
2018-05-29,MS,49.959999084472656,1.7,2.543212,20719.74105494505
2018-05-29,WFC,52.95000076293945,1.7,2.543212,20719.74105494505
2018-05-29,JPM,105.93000030517578,1.7,2.543212,20719.74105494505
2018-05-29,AAPL,46.97499847412109,1.7,2.543212,20719.74105494505
2018-05-30,JPM,108.3499984741211,1.7,2.543212,20722.13465934066
2018-05-30,CSCO,42.84999847412109,1.7,2.543212,20722.13465934066
2018-05-30,AAPL,46.875,1.7,2.543212,20722.13465934066
2018-05-30,F,11.550000190734863,1.7,2.543212,20722.13465934066
2018-05-30,AMZN,81.24449920654297,1.7,2.543212,20722.13465934066
